Blocks	Pathways
MED12*MYC*LBR*DHCR7	hsa04919-TFTG-hsa00100
MED12*PIK3R3*FOXO3*BIRC5	hsa04919-hsa04062-TFTG
MED12*PIK3R3*NFKB1*BIRC5	hsa04919-hsa04062-TFTG
MED12*PIK3R3*RELA*BIRC5	hsa04919-hsa04062-TFTG
MED12*PIK3R3*NFKB1*BIRC5	hsa04919-hsa04620-TFTG
MED12*PIK3R3*RELA*BIRC5	hsa04919-hsa04620-TFTG
MED12*PIK3R3*NFKB1*BIRC5	hsa04919-hsa04660-TFTG
MED12*PIK3R3*RELA*BIRC5	hsa04919-hsa04660-TFTG
MED12*PIK3R3*NFKB1*BIRC5	hsa04919-hsa04662-TFTG
MED12*PIK3R3*RELA*BIRC5	hsa04919-hsa04662-TFTG
MED12*PIK3R3*FOXO3*BIRC5	hsa04919-hsa04722-TFTG
MED12*PIK3R3*NFKB1*BIRC5	hsa04919-hsa04722-TFTG
MED12*PIK3R3*RELA*BIRC5	hsa04919-hsa04722-TFTG
MED12*PIK3R3*NFKB1*BIRC5	hsa04919-hsa04926-TFTG
MED12*PIK3R3*RELA*BIRC5	hsa04919-hsa04926-TFTG
MED12*CTNNB1*LEF1*BIRC5	hsa04919-hsa04310-TFTG
MED12*CTNNB1*TCF7*BIRC5	hsa04919-hsa04310-TFTG
MED12*CTNNB1*TCF7L2*BIRC5	hsa04919-hsa04310-TFTG
MED12*CTNNB1*BIRC5	hsa04919-hsa04390
MED12*CTNNB1*LEF1*BIRC5	hsa04919-hsa04390-TFTG
MED12*CTNNB1*TCF7*BIRC5	hsa04919-hsa04390-TFTG
MED12*CTNNB1*TCF7L2*BIRC5	hsa04919-hsa04390-TFTG
MED12*CTNNB1*TCF7*BIRC5	hsa04919-hsa04550-TFTG
MED12*PIK3R1*FOXO3*BIRC5	hsa04919-hsa04062-TFTG
MED12*PIK3R1*NFKB1*BIRC5	hsa04919-hsa04062-TFTG
MED12*PIK3R1*RELA*BIRC5	hsa04919-hsa04062-TFTG
MED12*PIK3R1*NFKB1*BIRC5	hsa04919-hsa04620-TFTG
MED12*PIK3R1*RELA*BIRC5	hsa04919-hsa04620-TFTG
MED12*PIK3R1*NFKB1*BIRC5	hsa04919-hsa04660-TFTG
MED12*PIK3R1*RELA*BIRC5	hsa04919-hsa04660-TFTG
MED12*PIK3R1*NFKB1*BIRC5	hsa04919-hsa04662-TFTG
MED12*PIK3R1*RELA*BIRC5	hsa04919-hsa04662-TFTG
MED12*PIK3R1*FOXO3*BIRC5	hsa04919-hsa04722-TFTG
MED12*PIK3R1*NFKB1*BIRC5	hsa04919-hsa04722-TFTG
MED12*PIK3R1*RELA*BIRC5	hsa04919-hsa04722-TFTG
MED12*PIK3R1*NFKB1*BIRC5	hsa04919-hsa04926-TFTG
MED12*PIK3R1*RELA*BIRC5	hsa04919-hsa04926-TFTG
MED12*PIK3CB*FOXO3*BIRC5	hsa04919-hsa04062-TFTG
MED12*PIK3CB*NFKB1*BIRC5	hsa04919-hsa04062-TFTG
MED12*PIK3CB*RELA*BIRC5	hsa04919-hsa04062-TFTG
MED12*PIK3CB*NFKB1*BIRC5	hsa04919-hsa04620-TFTG
MED12*PIK3CB*RELA*BIRC5	hsa04919-hsa04620-TFTG
MED12*PIK3CB*NFKB1*BIRC5	hsa04919-hsa04660-TFTG
MED12*PIK3CB*RELA*BIRC5	hsa04919-hsa04660-TFTG
MED12*PIK3CB*NFKB1*BIRC5	hsa04919-hsa04662-TFTG
MED12*PIK3CB*RELA*BIRC5	hsa04919-hsa04662-TFTG
MED12*PIK3CB*FOXO3*BIRC5	hsa04919-hsa04722-TFTG
MED12*PIK3CB*NFKB1*BIRC5	hsa04919-hsa04722-TFTG
MED12*PIK3CB*RELA*BIRC5	hsa04919-hsa04722-TFTG
MED12*PIK3CB*NFKB1*BIRC5	hsa04919-hsa04926-TFTG
MED12*PIK3CB*RELA*BIRC5	hsa04919-hsa04926-TFTG
MED12*ACTG1*BIRC5	hsa04919-hsa04390
MED12*ACTG1*APC*BIRC5	hsa04919-hsa04390-TFTG
MED12*ACTG1*LEF1*BIRC5	hsa04919-hsa04390-TFTG
MED12*ACTG1*TCF7*BIRC5	hsa04919-hsa04390-TFTG
MED12*ACTG1*TCF7L2*BIRC5	hsa04919-hsa04390-TFTG
MED12*PIK3CA*FOXO3*BIRC5	hsa04919-hsa04062-TFTG
MED12*PIK3CA*NFKB1*BIRC5	hsa04919-hsa04062-TFTG
MED12*PIK3CA*RELA*BIRC5	hsa04919-hsa04062-TFTG
MED12*PIK3CA*NFKB1*BIRC5	hsa04919-hsa04620-TFTG
MED12*PIK3CA*RELA*BIRC5	hsa04919-hsa04620-TFTG
MED12*PIK3CA*NFKB1*BIRC5	hsa04919-hsa04660-TFTG
