BlockName	Pathway	Length	Genes
hsa04010_MAP3K1_NFKB1	hsa04010	2	CHUK*IKBKB*IKBKG*MAP3K1*NFKB1
hsa04010_MAP3K1_NFKB2	hsa04010	2	CHUK*IKBKB*IKBKG*MAP3K1*NFKB2
hsa04010_MAP3K1_RELA	hsa04010	2	CHUK*IKBKB*IKBKG*MAP3K1*RELA
hsa04010_MAP3K1_RELB	hsa04010	2	CHUK*IKBKB*IKBKG*MAP3K1*RELB
hsa04010_MAP3K1_TP53	hsa04010	3	MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*TP53
hsa04010_MAPK10_JUN	hsa04010	1	JUN*MAPK10
hsa04010_MAPK10_MYC	hsa04010	5	MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK10*MAPK3*MAPK8IP3*MYC
hsa04010_MAPK10_NFKB1	hsa04010	4	CHUK*IKBKB*IKBKG*MAP3K1*MAPK10*MAPK8IP3*NFKB1
hsa04010_MAPK10_RELA	hsa04010	4	CHUK*IKBKB*IKBKG*MAP3K1*MAPK10*MAPK8IP3*RELA
hsa04010_MAPK10_TP53	hsa04010	1	MAPK10*TP53
hsa04010_MAPK11_TP53	hsa04010	1	MAPK11*TP53
hsa04010_MAPK12_TP53	hsa04010	1	MAPK12*TP53
hsa04010_MAPK13_TP53	hsa04010	1	MAPK13*TP53
hsa04010_MAPK14_TP53	hsa04010	1	MAPK14*TP53
hsa04010_MAPK1_MYC	hsa04010	1	MAPK1*MYC
hsa04010_MAPK3_MYC	hsa04010	1	MAPK3*MYC
hsa04010_MAPK8_JUN	hsa04010	1	JUN*MAPK8
hsa04010_MAPK8_MYC	hsa04010	5	MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MAPK8*MAPK8IP3*MYC
hsa04010_MAPK8_NFKB1	hsa04010	4	CHUK*IKBKB*IKBKG*MAP3K1*MAPK8*MAPK8IP3*NFKB1
hsa04010_MAPK8_RELA	hsa04010	4	CHUK*IKBKB*IKBKG*MAP3K1*MAPK8*MAPK8IP3*RELA
hsa04010_MAPK8_TP53	hsa04010	1	MAPK8*TP53
hsa04010_MAPK9_JUN	hsa04010	1	JUN*MAPK9
hsa04010_MAPK9_MYC	hsa04010	5	MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MAPK8IP3*MAPK9*MYC
hsa04010_MAPK9_NFKB1	hsa04010	4	CHUK*IKBKB*IKBKG*MAP3K1*MAPK8IP3*MAPK9*NFKB1
hsa04010_MAPK9_RELA	hsa04010	4	CHUK*IKBKB*IKBKG*MAP3K1*MAPK8IP3*MAPK9*RELA
hsa04010_MAPK9_TP53	hsa04010	1	MAPK9*TP53
hsa04010_NF1_ARRB1	hsa04010	4	ARRB1*HRAS*KRAS*MAP2K4*MAP3K1*MRAS*NF1*NRAS*RRAS*RRAS2
hsa04010_NF1_ARRB2	hsa04010	4	ARRB2*HRAS*KRAS*MAP2K4*MAP3K1*MRAS*NF1*NRAS*RRAS*RRAS2
hsa04010_NF1_ATF4	hsa04010	6	ARAF*ATF4*BRAF*HRAS*KRAS*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MKNK1*MKNK2*MRAS*NF1*NRAS*RAF1*RPS6KA1*RPS6KA2*RPS6KA3*RPS6KA6*RRAS*RRAS2
hsa04010_NF1_CRK	hsa04010	4	CRK*HRAS*KRAS*MAP2K4*MAP3K1*MRAS*NF1*NRAS*RRAS*RRAS2
hsa04010_NF1_CRKL	hsa04010	4	CRKL*HRAS*KRAS*MAP2K4*MAP3K1*MRAS*NF1*NRAS*RRAS*RRAS2
hsa04010_NF1_ELK1	hsa04010	5	ARAF*BRAF*ELK1*HRAS*KRAS*MAP2K1*MAP2K2*MAP2K4*MAP3K1*MAPK1*MAPK10*MAPK3*MAPK8*MAPK9*MRAS*NF1*NRAS*RAF1*RRAS*RRAS2
hsa04010_NF1_FOS	hsa04010	5	FOS*HRAS*KRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*MRAS*NF1*NRAS*RRAS*RRAS2
hsa04010_NF1_JUN	hsa04010	5	HRAS*JUN*KRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*MRAS*NF1*NRAS*RRAS*RRAS2
hsa04010_NF1_JUND	hsa04010	5	HRAS*JUND*KRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*MRAS*NF1*NRAS*RRAS*RRAS2
hsa04010_NF1_MYC	hsa04010	5	ARAF*BRAF*HRAS*KRAS*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MRAS*MYC*NF1*NRAS*RAF1*RRAS*RRAS2
hsa04010_NF1_NFATC1	hsa04010	5	HRAS*KRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*MRAS*NF1*NFATC1*NRAS*RRAS*RRAS2
hsa04010_NF1_NFATC3	hsa04010	5	HRAS*KRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*MRAS*NF1*NFATC3*NRAS*RRAS*RRAS2
hsa04010_NF1_NFKB1	hsa04010	4	CHUK*HRAS*IKBKB*IKBKG*KRAS*MAP3K1*MRAS*NF1*NFKB1*NRAS*RRAS*RRAS2
hsa04010_NF1_NFKB2	hsa04010	4	CHUK*HRAS*IKBKB*IKBKG*KRAS*MAP3K1*MRAS*NF1*NFKB2*NRAS*RRAS*RRAS2
hsa04010_NF1_RELA	hsa04010	4	CHUK*HRAS*IKBKB*IKBKG*KRAS*MAP3K1*MRAS*NF1*NRAS*RELA*RRAS*RRAS2
hsa04010_NF1_RELB	hsa04010	4	CHUK*HRAS*IKBKB*IKBKG*KRAS*MAP3K1*MRAS*NF1*NRAS*RELB*RRAS*RRAS2
hsa04010_NF1_TP53	hsa04010	5	HRAS*KRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*MRAS*NF1*NRAS*RRAS*RRAS2*TP53
hsa04010_PRKACA_MYC	hsa04010	5	BRAF*MAP2K1*MAP2K2*MAPK1*MAPK3*MYC*PRKACA*RAP1A*RAP1B
hsa04010_PRKACB_MYC	hsa04010	5	BRAF*MAP2K1*MAP2K2*MAPK1*MAPK3*MYC*PRKACB*RAP1A*RAP1B
hsa04010_PRKACG_MYC	hsa04010	5	BRAF*MAP2K1*MAP2K2*MAPK1*MAPK3*MYC*PRKACG*RAP1A*RAP1B
hsa04010_PRKCA_JUN	hsa04010	5	HRAS*JUN*KRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*MRAS*NRAS*PRKCA*RRAS*RRAS2
hsa04010_PRKCA_MYC	hsa04010	4	MAP2K1*MAP2K2*MAPK1*MAPK3*MYC*PRKCA*RAF1
