source	target
hsa04022	hsa04024
hsa04022	hsa04620
hsa04022	hsa04625
hsa04022	hsa04657
hsa04022	hsa04660
hsa04022	hsa04662
hsa04022	hsa04921
hsa04072	hsa04010
hsa04072	hsa04012
hsa04072	hsa04014
hsa04072	hsa04919
hsa04072	hsa04915
hsa04072	hsa04068
hsa04072	hsa04722
hsa04072	hsa04926
hsa04072	hsa04024
hsa04072	hsa04620
hsa04072	hsa04625
hsa04072	hsa04657
hsa04072	hsa04660
hsa04072	hsa04662
hsa04072	hsa04921
hsa04072	hsa04062
hsa04150	hsa04310
hsa04150	hsa04010
hsa04150	hsa04919
hsa04150	hsa04066
hsa04150	hsa04071
hsa04150	hsa04625
hsa04150	hsa04926
hsa04150	hsa04068
hsa04150	hsa04912
hsa04150	hsa04921
hsa04371	hsa04620
hsa04371	hsa04630
hsa04371	hsa04060
hsa04371	hsa04659
hsa04371	hsa04390
hsa04371	hsa04210
hsa04371	hsa04310
hsa04910	hsa04630
hsa04910	hsa04390
hsa04910	hsa04210
hsa04910	hsa04060
hsa04910	hsa04659
hsa04622	hsa04630
hsa04622	hsa04010
hsa04622	hsa04620
hsa04622	hsa04621
hsa04622	hsa04920
hsa04622	hsa04062
hsa04622	hsa04060
hsa04622	hsa04659
hsa04622	hsa04066
hsa04622	hsa04014
hsa04622	hsa04064
hsa04622	hsa04068
hsa04622	hsa04151
hsa04622	hsa04210
hsa04622	hsa04625
hsa04622	hsa04926
hsa04622	hsa04390
hsa04622	hsa04668
hsa04622	hsa03440
hsa04622	hsa04071
hsa04622	hsa04657
hsa04622	hsa04012
hsa04622	hsa04660
hsa04622	hsa04722
hsa04622	hsa04912
hsa04152	hsa04919
hsa04152	hsa04062
hsa04152	hsa04620
hsa04152	hsa04660
hsa04152	hsa04662
hsa04152	hsa04722
hsa04152	hsa04926
hsa04152	hsa04060
hsa04152	hsa04630
hsa04152	hsa04659
hsa04152	hsa00100
hsa04152	hsa04390
hsa04152	hsa04210
hsa04350	hsa04310
hsa04350	hsa04630
hsa04350	hsa04390
hsa04350	hsa03440
hsa04664	hsa04010
hsa04664	hsa04919
hsa04664	hsa04066
hsa04664	hsa04926
hsa04664	hsa04912
hsa04664	hsa04921
hsa04664	hsa04151
hsa04664	hsa04068
hsa04664	hsa04071
hsa04664	hsa04014
hsa04664	hsa04062
hsa04664	hsa04210
hsa04664	hsa04620
hsa04664	hsa04660
hsa04664	hsa04662
hsa04664	hsa04722
hsa04664	hsa04917
hsa04664	hsa04625
hsa04664	hsa04657
hsa04664	hsa04012
hsa04664	hsa04668
hsa04370	hsa04630
hsa04370	hsa04010
hsa04370	hsa04620
hsa04370	hsa04722
hsa04330	hsa04060
hsa04330	hsa04630
hsa04330	hsa04659
hsa04330	hsa04210
hsa04340	hsa04151
hsa04340	hsa04310
hsa04340	hsa04390
hsa04340	hsa04550
hsa04340	hsa04630
hsa04340	hsa04060
hsa04340	hsa04659
hsa04340	hsa04071
hsa04340	hsa04919
hsa04340	hsa04210
