BlockName	Pathway	Length	Genes
hsa04010_AKT3_NFATC1	hsa04010	3	AKT3*MAP2K4*MAPK10*MAPK8*MAPK9*NFATC1
hsa04010_AKT3_NFKB1	hsa04010	5	AKT3*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*NFKB1
hsa04010_AKT3_NFKB2	hsa04010	5	AKT3*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*NFKB2
hsa04010_AKT3_RELA	hsa04010	5	AKT3*CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*RELA
hsa04010_AKT3_TP53	hsa04010	3	AKT3*MAP2K4*MAPK10*MAPK8*MAPK9*TP53
hsa04010_ARAF_MAPT	hsa04010	3	ARAF*MAP2K1*MAP2K2*MAPK1*MAPK3*MAPT
hsa04010_ARAF_MYC	hsa04010	3	ARAF*MAP2K1*MAP2K2*MAPK1*MAPK3*MYC
hsa04010_BRAF_MAPT	hsa04010	3	BRAF*MAP2K1*MAP2K2*MAPK1*MAPK3*MAPT
hsa04010_BRAF_MYC	hsa04010	3	BRAF*MAP2K1*MAP2K2*MAPK1*MAPK3*MYC
hsa04010_CACNA1A_MAPT	hsa04010	6	ARAF*BRAF*CACNA1A*HRAS*KRAS*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MAPT*MRAS*NRAS*RAF1*RASGRF1*RASGRF2*RASGRP1*RASGRP2*RASGRP3*RASGRP4*RRAS*RRAS2
hsa04010_CACNA1A_MYC	hsa04010	6	ARAF*BRAF*CACNA1A*HRAS*KRAS*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MRAS*MYC*NRAS*RAF1*RASGRF1*RASGRF2*RASGRP1*RASGRP2*RASGRP3*RASGRP4*RRAS*RRAS2
hsa04010_CACNA1H_MAPT	hsa04010	6	ARAF*BRAF*CACNA1H*HRAS*KRAS*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MAPT*MRAS*NRAS*RAF1*RASGRF1*RASGRF2*RASGRP1*RASGRP2*RASGRP3*RASGRP4*RRAS*RRAS2
hsa04010_CACNA1H_MYC	hsa04010	6	ARAF*BRAF*CACNA1H*HRAS*KRAS*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MRAS*MYC*NRAS*RAF1*RASGRF1*RASGRF2*RASGRP1*RASGRP2*RASGRP3*RASGRP4*RRAS*RRAS2
hsa04010_CACNA2D4_MAPT	hsa04010	6	ARAF*BRAF*CACNA2D4*HRAS*KRAS*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MAPT*MRAS*NRAS*RAF1*RASGRF1*RASGRF2*RASGRP1*RASGRP2*RASGRP3*RASGRP4*RRAS*RRAS2
hsa04010_CACNA2D4_MYC	hsa04010	6	ARAF*BRAF*CACNA2D4*HRAS*KRAS*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MRAS*MYC*NRAS*RAF1*RASGRF1*RASGRF2*RASGRP1*RASGRP2*RASGRP3*RASGRP4*RRAS*RRAS2
hsa04010_CACNB1_MAPT	hsa04010	6	ARAF*BRAF*CACNB1*HRAS*KRAS*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MAPT*MRAS*NRAS*RAF1*RASGRF1*RASGRF2*RASGRP1*RASGRP2*RASGRP3*RASGRP4*RRAS*RRAS2
