BlockName	Pathway	Length	Genes
hsa04010_HRAS_NFATC1	hsa04010	4	HRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*NFATC1
hsa04010_HRAS_NFATC3	hsa04010	4	HRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*NFATC3
hsa04010_HRAS_NFKB1	hsa04010	3	CHUK*HRAS*IKBKB*IKBKG*MAP3K1*NFKB1
hsa04010_HRAS_NFKB2	hsa04010	3	CHUK*HRAS*IKBKB*IKBKG*MAP3K1*NFKB2
hsa04010_HRAS_RELA	hsa04010	3	CHUK*HRAS*IKBKB*IKBKG*MAP3K1*RELA
hsa04010_HRAS_RELB	hsa04010	3	CHUK*HRAS*IKBKB*IKBKG*MAP3K1*RELB
hsa04010_HRAS_TP53	hsa04010	4	HRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*TP53
hsa04010_IGF1_ERBB2	hsa04010	1	ERBB2*IGF1
hsa04010_IGF2_ERBB2	hsa04010	1	ERBB2*IGF2
hsa04010_IKBKB_NFKB1	hsa04010	1	IKBKB*NFKB1
hsa04010_IKBKB_NFKB2	hsa04010	1	IKBKB*NFKB2
hsa04010_IKBKB_RELA	hsa04010	1	IKBKB*RELA
hsa04010_IKBKB_RELB	hsa04010	1	IKBKB*RELB
hsa04010_IKBKG_NFKB1	hsa04010	1	IKBKG*NFKB1
hsa04010_IKBKG_NFKB2	hsa04010	1	IKBKG*NFKB2
hsa04010_IKBKG_RELA	hsa04010	1	IKBKG*RELA
hsa04010_IL1B_ELK1	hsa04010	9	ELK1*IL1B*IL1R1*IL1RAP*IRAK1*IRAK4*MAP2K3*MAP2K6*MAP3K7*MAPK11*MAPK12*MAPK13*MAPK14*MYD88*TAB1*TRAF6
hsa04010_IL1B_FOS	hsa04010	10	ELK1*ELK4*FOS*IL1B*IL1R1*IL1RAP*IRAK1*IRAK4*MAP2K3*MAP2K6*MAP3K7*MAPK11*MAPK12*MAPK13*MAPK14*MYD88*TAB1*TRAF6
hsa04010_IL1B_NFKB1	hsa04010	8	CHUK*IKBKB*IKBKG*IL1B*IL1R1*IL1RAP*IRAK1*IRAK4*MAP3K14*MAP3K7*MYD88*NFKB1*TAB1*TRAF6
hsa04010_IL1B_NFKB2	hsa04010	8	CHUK*IKBKB*IKBKG*IL1B*IL1R1*IL1RAP*IRAK1*IRAK4*MAP3K14*MAP3K7*MYD88*NFKB2*TAB1*TRAF6
hsa04010_IL1B_RELA	hsa04010	8	CHUK*IKBKB*IKBKG*IL1B*IL1R1*IL1RAP*IRAK1*IRAK4*MAP3K14*MAP3K7*MYD88*RELA*TAB1*TRAF6
hsa04010_IL1B_TP53	hsa04010	9	IL1B*IL1R1*IL1RAP*IRAK1*IRAK4*MAP2K3*MAP2K6*MAP3K7*MAPK11*MAPK12*MAPK13*MAPK14*MYD88*TAB1*TP53*TRAF6
hsa04010_INS_ERBB2	hsa04010	1	ERBB2*INS
hsa04010_KRAS_ARRB1	hsa04010	3	ARRB1*KRAS*MAP2K4*MAP3K1
hsa04010_KRAS_ARRB2	hsa04010	3	ARRB2*KRAS*MAP2K4*MAP3K1
hsa04010_KRAS_ATF4	hsa04010	5	ARAF*ATF4*BRAF*KRAS*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MKNK1*MKNK2*RAF1*RPS6KA1*RPS6KA2*RPS6KA3*RPS6KA6
hsa04010_KRAS_CRK	hsa04010	3	CRK*KRAS*MAP2K4*MAP3K1
hsa04010_KRAS_CRKL	hsa04010	3	CRKL*KRAS*MAP2K4*MAP3K1
hsa04010_KRAS_ELK1	hsa04010	4	ARAF*BRAF*ELK1*KRAS*MAP2K1*MAP2K2*MAP2K4*MAP3K1*MAPK1*MAPK10*MAPK3*MAPK8*MAPK9*RAF1
hsa04010_KRAS_ELK4	hsa04010	4	ARAF*BRAF*ELK4*KRAS*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*RAF1
hsa04010_KRAS_FLNA	hsa04010	3	FLNA*KRAS*MAP2K4*MAP3K1
hsa04010_KRAS_FLNB	hsa04010	3	FLNB*KRAS*MAP2K4*MAP3K1
hsa04010_KRAS_FLNC	hsa04010	3	FLNC*KRAS*MAP2K4*MAP3K1
hsa04010_KRAS_FOS	hsa04010	4	FOS*KRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9
hsa04010_KRAS_JUN	hsa04010	4	JUN*KRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9
