,BlockName,Pathway,Sources,Targets,SubpathwayBlocks
48,hsa04010_FASLG_FOS,hsa04010,FASLG,FOS,hsa04010_FASLG_FOS
49,hsa04010_FASLG_TP53,hsa04010,FASLG,TP53,hsa04010_FASLG_TP53
50,hsa04010_FAS_ELK1,hsa04010,FAS,ELK1,hsa04010_FAS_ELK1
51,hsa04010_FAS_FOS,hsa04010,FAS,FOS,hsa04010_FAS_FOS
52,hsa04010_FAS_TP53,hsa04010,FAS,TP53,hsa04010_FAS_TP53
53,hsa04010_GADD45A+GADD45B+GADD45G_ELK1+ELK1+ELK1,hsa04010,GADD45A;GADD45B;GADD45G,ELK1;ELK1;ELK1,hsa04010_GADD45A_ELK1;hsa04010_GADD45B_ELK1;hsa04010_GADD45G_ELK1
54,hsa04010_GADD45A+GADD45B+GADD45G_FOS+FOS+FOS,hsa04010,GADD45A;GADD45B;GADD45G,FOS;FOS;FOS,hsa04010_GADD45A_FOS;hsa04010_GADD45B_FOS;hsa04010_GADD45G_FOS
55,hsa04010_GADD45A+GADD45B+GADD45G_TP53+TP53+TP53,hsa04010,GADD45A;GADD45B;GADD45G,TP53;TP53;TP53,hsa04010_GADD45A_TP53;hsa04010_GADD45B_TP53;hsa04010_GADD45G_TP53
56,hsa04010_GRB2_ERBB2,hsa04010,GRB2,ERBB2,hsa04010_GRB2_ERBB2
57,hsa04010_HRAS+HRAS+KRAS+KRAS_ARRB1+ARRB2+ARRB1+ARRB2,hsa04010,HRAS;HRAS;KRAS;KRAS,ARRB1;ARRB2;ARRB1;ARRB2,hsa04010_HRAS_ARRB1;hsa04010_HRAS_ARRB2;hsa04010_KRAS_ARRB1;hsa04010_KRAS_ARRB2
58,hsa04010_HRAS+KRAS_ATF4+ATF4,hsa04010,HRAS;KRAS,ATF4;ATF4,hsa04010_HRAS_ATF4;hsa04010_KRAS_ATF4
