source	target
hsa04151	hsa04722
hsa04151	hsa04371
hsa04151	hsa04912
hsa04151	hsa04928
hsa04151	hsa04068
hsa04151	hsa04350
hsa04151	hsa04917
hsa04151	hsa04910
hsa04151	hsa04114
hsa04151	hsa04510
hsa04151	hsa04725
hsa04151	hsa04210
hsa04151	hsa04110
hsa04151	hsa04530
hsa04151	hsa04115
hsa04151	hsa04310
hsa04151	hsa04071
hsa04151	hsa04922
hsa04151	hsa04064
hsa04151	hsa04066
hsa04151	hsa04621
hsa04151	hsa04920
hsa04151	hsa04630
hsa04151	hsa04015
hsa04151	hsa04072
hsa04151	hsa04810
hsa04151	hsa04020
hsa04151	hsa04144
hsa04151	hsa04540
hsa04151	hsa04550
hsa04151	hsa04390
hsa04151	hsa00270
hsa04151	hsa00230
hsa04151	hsa00240
hsa04151	hsa00983
hsa04151	hsa04666
hsa04151	hsa04141
hsa04151	hsa04140
hsa04151	hsa04340
hsa04151	hsa00860
hsa04919	hsa04625
hsa04919	hsa04660
hsa04919	hsa04926
hsa04919	hsa04218
hsa04919	hsa04310
hsa04919	hsa04390
hsa04919	hsa04550
hsa04919	hsa04151
hsa04919	hsa04115
hsa04919	hsa04110
hsa04919	hsa04062
hsa04919	hsa04620
hsa04919	hsa04662
hsa04919	hsa04722
hsa04919	hsa04066
hsa04919	hsa04010
hsa04919	hsa04014
hsa04919	hsa04015
hsa04919	hsa04020
hsa04919	hsa04810
hsa04919	hsa04912
hsa04919	hsa04928
hsa04919	hsa04630
hsa04919	hsa04915
hsa04919	hsa04012
hsa04919	hsa04510
hsa04919	hsa04144
hsa04919	hsa04350
hsa04919	hsa00230
hsa04919	hsa00240
hsa04919	hsa00983
hsa04919	hsa04910
hsa04919	hsa04114
hsa04919	hsa04068
hsa04919	hsa04530
hsa04919	hsa04666
hsa04919	hsa04917
hsa04919	hsa04725
hsa04919	hsa04140
hsa04919	hsa04340
hsa04919	hsa04210
hsa04919	hsa04141
hsa04919	hsa04064
hsa04919	hsa04071
hsa04919	hsa00860
hsa04919	hsa04330
hsa04919	hsa04072
hsa04919	hsa04540
hsa04919	hsa04921
hsa04919	hsa04261
hsa04919	hsa04152
hsa04020	hsa04010
hsa04020	hsa04912
hsa04020	hsa04919
hsa04020	hsa04921
hsa04020	hsa04926
hsa04020	hsa04066
hsa04020	hsa04114
hsa04020	hsa04510
hsa04921	hsa04010
hsa04921	hsa04012
hsa04921	hsa04014
hsa04921	hsa04024
hsa04921	hsa04218
hsa04921	hsa04620
hsa04921	hsa04625
hsa04921	hsa04657
hsa04921	hsa04660
hsa04921	hsa04662
hsa04921	hsa04915
hsa04921	hsa04919
hsa04921	hsa04926
hsa04921	hsa04115
hsa04921	hsa04151
hsa04921	hsa04668
hsa04921	hsa04371
hsa04921	hsa04722
hsa04921	hsa04912
hsa04921	hsa04928
hsa04921	hsa04015
hsa04921	hsa04020
hsa04921	hsa04072
hsa04921	hsa04510
hsa04921	hsa04540
hsa04921	hsa04630
hsa04921	hsa04810
hsa04921	hsa04066
hsa04921	hsa04144
hsa04921	hsa04110
hsa04921	hsa04068
hsa04921	hsa04350
hsa04921	hsa04917
hsa04921	hsa04390
hsa04921	hsa04310
hsa04921	hsa04550
hsa04921	hsa00230
hsa04921	hsa00983
hsa04921	hsa04114
hsa04921	hsa04530
hsa04921	hsa04666
hsa04921	hsa00232
hsa04921	hsa04210
hsa04921	hsa04141
