BlockName	Pathway	Length	Genes
hsa04010_MAPK9_MYC	hsa04010	5	MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MAPK8IP3*MAPK9*MYC
hsa04010_MAPK9_NFKB1	hsa04010	4	CHUK*IKBKB*IKBKG*MAP3K1*MAPK8IP3*MAPK9*NFKB1
hsa04010_MAPK9_RELA	hsa04010	4	CHUK*IKBKB*IKBKG*MAP3K1*MAPK8IP3*MAPK9*RELA
hsa04010_NF1_ARRB1	hsa04010	4	ARRB1*HRAS*KRAS*MAP2K4*MAP3K1*MRAS*NF1*NRAS*RRAS*RRAS2
hsa04010_NF1_ARRB2	hsa04010	4	ARRB2*HRAS*KRAS*MAP2K4*MAP3K1*MRAS*NF1*NRAS*RRAS*RRAS2
hsa04010_NF1_CRK	hsa04010	4	CRK*HRAS*KRAS*MAP2K4*MAP3K1*MRAS*NF1*NRAS*RRAS*RRAS2
hsa04010_NF1_CRKL	hsa04010	4	CRKL*HRAS*KRAS*MAP2K4*MAP3K1*MRAS*NF1*NRAS*RRAS*RRAS2
hsa04010_NF1_ELK1	hsa04010	5	ARAF*BRAF*ELK1*HRAS*KRAS*MAP2K1*MAP2K2*MAP2K4*MAP3K1*MAPK1*MAPK10*MAPK3*MAPK8*MAPK9*MRAS*NF1*NRAS*RAF1*RRAS*RRAS2
hsa04010_NF1_JUN	hsa04010	5	HRAS*JUN*KRAS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*MRAS*NF1*NRAS*RRAS*RRAS2
hsa04010_NF1_MYC	hsa04010	5	ARAF*BRAF*HRAS*KRAS*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MRAS*MYC*NF1*NRAS*RAF1*RRAS*RRAS2
hsa04010_NF1_NFKB1	hsa04010	4	CHUK*HRAS*IKBKB*IKBKG*KRAS*MAP3K1*MRAS*NF1*NFKB1*NRAS*RRAS*RRAS2
hsa04010_NF1_NFKB2	hsa04010	4	CHUK*HRAS*IKBKB*IKBKG*KRAS*MAP3K1*MRAS*NF1*NFKB2*NRAS*RRAS*RRAS2
